saleyear,salemonth,salesprice,area,beds,baths,stories,yearbuilt,neighborhood,community,lotsize,numfireplaces,fireplace
2013,11,103526.08287056815,1876,2,1,1.2,1927,Folwell,Camden,5040,0,FALSE
2010,7,177723.8574481285,2463,4,3,1.5,1917,Como,University,5360,1,TRUE
2013,10,252672.3527725115,1956,2,1,1.2,1926,Howe,Longfellow,5704,1,TRUE
2013,11,216413.56685177278,2112,3,1,1.2,1921,Standish,Powderhorn,5080,0,FALSE
2009,7,218529.51202928385,1560,2,1,1.2,1942,Wenonah,Nokomis,5150,0,FALSE
2006,6,274560.8404360753,2367,4,2,2,1925,Hiawatha,Longfellow,6144,0,FALSE
2006,9,316559.05325443787,2220,3,1,1.2,1922,Audubon Park,Northeast,5040,1,TRUE
2015,2,368097.7641050046,2236,3,2,1.5,1940,Keewaydin,Nokomis,5880,0,FALSE
2005,7,297641.86762442277,1952,3,1,1,1924,Como,University,5080,0,FALSE
2014,5,152353.8101790493,2183,4,1,1,1994,Shingle Creek,Camden,7540,0,FALSE
2005,9,369487.21126760566,2094,2,2,1.7,1946,Bryn - Mawr,Calhoun-Isles,7370,2,TRUE
2012,7,646843.9739271185,3094,4,3,1.5,1939,Cedar - Isles - Dean,Calhoun-Isles,6400,2,TRUE
2008,6,149978.32274915735,1872,3,1,1.2,1928,Cleveland,Camden,5107,1,TRUE
2009,10,306041.6333732085,2628,4,2,1.5,1933,Howe,Longfellow,4960,1,TRUE
2011,6,274676.156330347,2006,3,1,2,1930,Keewaydin,Nokomis,5120,1,TRUE
2012,7,225464.882978258,1872,2,1,1.2,1926,Keewaydin,Nokomis,5120,1,TRUE
2014,1,169845.9759953759,1758,2,1,1.5,1907,Powderhorn Park,Powderhorn,4879,0,FALSE
2005,3,360499.6374935267,2359,3,2,1.5,1946,Armatage,Southwest,5842,1,TRUE
2013,4,230798.84554157304,1638,3,2,1,1967,Seward,Longfellow,5926,0,FALSE
2005,4,1131390.81053175,3789,5,2,2.5,1900,Lowry Hill,Calhoun-Isles,6192,2,TRUE
2013,11,192899.9299444682,1950,3,1,1.5,1909,Windom Park,Northeast,5712,0,FALSE
2013,11,144275.71123451518,2016,3,2,1.2,1956,Shingle Creek,Camden,5312,0,FALSE
2014,12,109130.92799214399,2232,2,1,1.2,1920,McKinley,Camden,5052,0,FALSE
2006,4,307025.09217737924,2298,3,2,1.7,1915,Como,University,4960,0,FALSE
2008,10,149707.70755086522,1824,3,2,1,1924,Howe,Longfellow,5600,0,FALSE
2005,8,479886.5884752678,2846,4,2,1.5,1936,Diamond Lake,Nokomis,6045,2,TRUE
2010,11,243041.88715333125,2010,3,3,1.7,1912,Linden Hills,Southwest,5625,1,TRUE
2013,10,937866.8116010253,3726,4,4,2,1925,Lynnhurst,Southwest,11290,2,TRUE
2008,10,327931.1689209429,3332,4,3,1,1978,Windom,Southwest,21312,0,FALSE
2014,3,236929.6252986934,1740,4,2,1.2,1953,Northeast Park,Northeast,6250,0,FALSE
2005,6,272864.84254001034,1658,2,2,1.2,1924,Cleveland,Camden,4468,0,FALSE
2014,8,247389.86945169716,2212,3,1,1,1953,Diamond Lake,Nokomis,7036,2,TRUE
2013,4,339246.49585628806,2481,4,3,1.2,1950,Windom,Southwest,7080,1,TRUE
2009,10,271507.7525645585,2356,4,2,2.5,1900,Windom Park,Northeast,8280,0,FALSE
2005,4,332762.0030975736,1914,3,2,1.2,1949,Armatage,Southwest,5080,0,FALSE
2014,3,227207.7550121172,1874,4,1,1.7,1910,Como,University,4960,0,FALSE
2015,7,297755.01651024644,1948,3,2,1,1919,Northrop,Nokomis,4085,1,TRUE
2008,4,326585.26142599393,1999,3,2,1.7,1915,Audubon Park,Northeast,5020,0,FALSE
2012,4,114744.93754008735,1264,1,1,1.2,1922,Morris Park,Nokomis,5120,1,TRUE
2012,9,252227.01556176008,2592,4,2,1.5,1928,Bottineau,Northeast,6751,0,FALSE
2006,3,156217.84677015524,928,2,2,1.5,1910,Audubon Park,Northeast,4508,0,FALSE
2013,6,257330.4136462389,2344,3,2,1.5,1927,Longfellow,Longfellow,6192,2,TRUE
2011,9,147915.1092026814,2556,4,2,1.5,1926,Folwell,Camden,5124,1,TRUE
2006,9,273334.1222879684,1188,3,1,1.7,1910,Willard - Hay,Near North,5888,0,FALSE
2013,2,215833.80914152754,2280,3,1,1.2,1923,Keewaydin,Nokomis,5880,0,FALSE
2011,2,722703.8008454335,3832,5,4,2,1928,Linden Hills,Southwest,6000,2,TRUE
2009,4,393931.6154934676,2755,4,2,2.5,1905,Lyndale,Powderhorn,6680,1,TRUE
2007,5,241918.48322894247,1651,2,1,1.2,1910,Ericsson,Nokomis,5080,0,FALSE
2015,12,792684.0146197232,2900,4,4,2,2015,Linden Hills,Southwest,7424,1,TRUE
2008,5,313881.8631277648,2172,3,2,1.7,1908,Seward,Longfellow,5875,0,FALSE
2011,11,693450.5324229979,4018,4,4,2,1934,Cedar - Isles - Dean,Calhoun-Isles,10880,2,TRUE
2008,9,233762.21713565153,1376,2,2,1,1920,Howe,Longfellow,5080,0,FALSE
2014,6,511885.47871062387,3960,4,2,2,1915,Tangletown,Southwest,12550,2,TRUE
2009,6,144042.4600772848,1620,3,1,1.5,1912,Harrison,Near North,12474,0,FALSE
2013,6,183015.16487771302,2296,3,1,1.2,1951,Armatage,Southwest,5715,0,FALSE
2013,12,226827.2104090423,2772,5,3,1.7,1912,King Field,Southwest,5292,0,FALSE
2005,4,665524.0061951472,2668,3,3,2,1911,Lynnhurst,Southwest,5400,1,TRUE
2007,7,155238.6044517661,1240,2,1,1.5,1904,Cleveland,Camden,5359,0,FALSE
2013,1,233698.52252470015,1544,2,1,1.2,1922,Howe,Longfellow,6016,0,FALSE
2015,6,324372.4190745486,1929,2,1,1.7,1912,East Harriet,Southwest,5334,0,FALSE
2009,8,294269.6354057881,2136,3,2,1,1955,Armatage,Southwest,6384,2,TRUE
2013,6,376012.9751123922,2683,3,3,1.2,1941,Waite Park,Northeast,6875,2,TRUE
2007,9,351105.5829141633,2280,3,1,1.2,1946,Diamond Lake,Nokomis,6105,2,TRUE
2015,10,215817.64416383088,1596,2,1,1,1925,Field,Nokomis,4440,0,FALSE
2012,10,215819.8292162771,1800,3,2,1.2,1924,Standish,Powderhorn,5040,0,FALSE
2008,9,217918.9224998515,1920,4,2,1,1975,St. Anthony West,Northeast,6240,0,FALSE
2009,9,238879.64940401464,1818,3,1,1.5,1900,Marcy Holmes,University,6105,1,TRUE
2007,3,163268.77362534584,682,1,1,1,1923,Como,University,5080,0,FALSE
2011,5,312522.97536542616,2373,3,2,1.2,1937,Diamond Lake,Nokomis,6000,1,TRUE
2013,11,295159.4703118326,2206,3,2,1,1953,Armatage,Southwest,6350,0,FALSE
2015,8,114813.25698537599,2208,3,1,1.2,1916,McKinley,Camden,5774,0,FALSE
2015,5,432315.71849907807,2184,3,2,1.2,1921,East Harriet,Southwest,5628,1,TRUE
2010,10,305925.79998630355,2642,3,2,1.2,1940,Waite Park,Northeast,8946,2,TRUE
2013,5,375240.3047957463,2640,3,2,1,1957,Armatage,Southwest,6625,2,TRUE
2008,10,255453.62796377798,2036,3,2,1.2,1941,Northrop,Nokomis,5418,1,TRUE
2012,6,180401.4352978243,1360,3,1,1.5,1911,Bryn - Mawr,Calhoun-Isles,5120,0,FALSE
2006,3,251110.505758638,2044,2,2,1.2,1928,Willard - Hay,Near North,5625,0,FALSE
2013,5,255719.31882376786,2174,3,4,2,1999,Standish,Powderhorn,5080,0,FALSE
2013,1,266972.7407317884,1956,3,2,1,1951,Kenny,Southwest,6840,2,TRUE
2015,4,169174.42067207966,2296,3,2,2,2009,Near - North,Near North,5740,0,FALSE
2013,6,210744.73531373017,1632,3,2,1,1946,Northrop,Nokomis,6095,0,FALSE
2013,8,309226.2353505586,2590,3,1,2,1922,Regina,Nokomis,4656,1,TRUE
2007,9,383867.1954043933,2318,3,3,1.2,1947,Hale,Nokomis,6200,1,TRUE
2011,11,339348.13288785,2828,3,2,1,1957,Armatage,Southwest,6700,2,TRUE
2010,4,815324.5355399881,3609,4,3,2,1923,Fulton,Southwest,6864,2,TRUE
2005,3,316438.5706887623,1975,3,1,1.2,1917,Cooper,Longfellow,4960,0,FALSE
2009,11,103730.62043694817,1604,1,1,1.2,1941,Folwell,Camden,5032,0,FALSE
2014,1,392837.30576995004,1784,3,1,1.7,1910,Linden Hills,Southwest,5670,0,FALSE
2006,8,297294.6025515211,2040,4,3,1.5,1925,Audubon Park,Northeast,5120,0,FALSE
2015,8,378017.23290468135,2420,3,2,2.2,1910,CARAG,Calhoun-Isles,5120,1,TRUE
2013,9,110285.93155893536,1188,1,1,1,1925,Ericsson,Nokomis,4880,0,FALSE
2012,3,154261.47626602335,2750,4,2,2.5,1905,Central,Powderhorn,5152,0,FALSE
2007,7,195849.0233763481,2020,2,1,1.7,1902,Lyndale,Powderhorn,4248,0,FALSE
2014,8,305912.2041607008,2052,3,1,1,1955,Armatage,Southwest,5080,0,FALSE
2008,1,783774.0722237409,3588,4,4,2.5,1925,Tangletown,Southwest,5600,2,TRUE
2012,10,234852.93431993024,2382,4,2,2,1900,Audubon Park,Northeast,5460,0,FALSE
2014,7,743624.9568417418,3225,4,4,2.2,1927,Fulton,Southwest,5120,1,TRUE
2007,7,167533.50192434597,899,2,1,1,1950,Lind - Bohanon,Camden,5888,0,FALSE
2010,9,222654.101477494,2854,3,2,2,2005,Powderhorn Park,Powderhorn,5102,0,FALSE
2015,8,241541.09724281932,1872,4,2,1,1952,Armatage,Southwest,6096,0,FALSE
2014,12,280466.48493981006,1925,2,2,1.2,1925,Diamond Lake,Nokomis,6402,1,TRUE
2006,7,457323.1030064071,2971,3,4,2.5,1908,Seward,Longfellow,8211,1,TRUE
2006,8,189636.00392541708,1491,2,1,1,1922,Cleveland,Camden,5431,0,FALSE
2006,4,314732.83507722977,2606,4,2,1.2,1938,Willard - Hay,Near North,6350,2,TRUE
2015,11,204727.96480923632,1580,2,1,1.2,1925,Audubon Park,Northeast,5040,0,FALSE
2010,1,228320.194217612,1725,3,1,1.2,1950,Morris Park,Nokomis,5120,0,FALSE
2013,8,137716.1126721952,1440,1,1,1,1909,Cooper,Longfellow,6144,0,FALSE
2006,6,268300.49554013874,1420,2,2,1.2,1927,Diamond Lake,Nokomis,5080,0,FALSE
2006,5,266405.3253849975,2018,3,2,1.2,1942,Willard - Hay,Near North,5120,0,FALSE
2010,11,221907.8100095633,1680,2,2,1.2,1928,Hiawatha,Longfellow,10943,0,FALSE
2006,3,258082.2113169755,1872,3,2,1.2,1912,Willard - Hay,Near North,5680,0,FALSE
2007,6,442906.78170570463,2016,4,2,2,1928,Hale,Nokomis,6176,1,TRUE
2011,4,147266.85795629496,1914,3,1,1.2,1952,Shingle Creek,Camden,5245,0,FALSE
2007,12,285935.95497647143,1762,2,2,1.2,1924,Kenny,Southwest,5376,0,FALSE
2008,4,463967.9913247515,3192,3,1,1,1952,Linden Hills,Southwest,7710,0,FALSE
2014,7,325566.6051924648,2483,4,2,1.2,1928,Howe,Longfellow,5456,1,TRUE
2009,10,250072.92999367233,2044,4,2,1.5,1952,Kenny,Southwest,5080,0,FALSE
2014,3,148558.91673869203,1425,2,1,1.5,1918,King Field,Southwest,2530,0,FALSE
2006,9,286047.3372781065,2240,3,1,1,1996,Folwell,Camden,5032,0,FALSE
2007,8,202989.51687075943,1460,5,2,1.2,1915,Seward,Longfellow,5160,0,FALSE
2012,2,787601.3997345935,3367,5,5,2,1951,Fulton,Southwest,6075,0,FALSE
2008,10,920821.2170787345,3549,5,4,2,1929,Lynnhurst,Southwest,5160,1,TRUE
2014,2,118214.16532581608,1952,3,1,1,1958,Jordan,Near North,5457,0,FALSE
2014,1,112755.81245112374,1664,2,1,1.2,1955,Shingle Creek,Camden,6280,0,FALSE
2008,9,260324.766878201,1814,3,2,1.5,1904,Howe,Longfellow,8149,0,FALSE
2015,12,194890.74490770145,1728,2,2,1.2,1921,Standish,Powderhorn,4920,0,FALSE
2014,3,145281.88181063265,2604,3,3,2,2001,Near - North,Near North,5292,0,FALSE
2015,12,147418.62344118673,1664,2,2,1,1953,Shingle Creek,Camden,5375,0,FALSE
2006,8,280722.0098135427,2121,3,2,1.2,1924,Longfellow,Longfellow,5080,0,FALSE
2010,4,144683.04485218698,1894,2,1,1,1923,Webber - Camden,Camden,4727,0,FALSE
2014,1,131493.65883512973,2576,4,2,1.5,1925,Howe,Longfellow,6400,0,FALSE
2015,5,244768.58747431447,2416,3,2,1,1955,Diamond Lake,Nokomis,5240,2,TRUE
2009,10,201487.33216633028,1612,2,1,1,1951,Bryn - Mawr,Calhoun-Isles,6750,0,FALSE
2013,9,154913.64710718323,1878,2,1,1,1925,Diamond Lake,Nokomis,5280,1,TRUE
2010,9,212613.9961058298,1814,1,1,1.2,1940,Kenny,Southwest,5600,0,FALSE
2011,2,384589.96475858276,2990,4,2,2,1913,Tangletown,Southwest,9455,1,TRUE
2005,10,699271.5218483176,2864,4,3,2,1935,Lynnhurst,Southwest,6300,2,TRUE
2008,12,251240.52261610804,1961,3,1,1.2,1930,Waite Park,Northeast,5040,1,TRUE
2015,7,202547.06470504214,2052,1,2,2,1912,Waite Park,Northeast,5000,0,FALSE
2014,11,366636.796732255,2298,3,2,1.7,1910,Linden Hills,Southwest,5670,0,FALSE
2007,8,437017.1861682405,1898,4,2,1.5,1911,Linden Hills,Southwest,5535,0,FALSE
2012,10,378436.0079088923,2257,3,2,1.2,1942,Armatage,Southwest,6350,1,TRUE
2010,5,444953.74844677624,1970,3,1,1,1947,Armatage,Southwest,5120,1,TRUE
2006,9,222481.26232741616,2370,3,2,1.5,1910,Jordan,Near North,5325,0,FALSE
2005,6,270868.2705214249,1952,3,1,1,1955,Columbia Park,Northeast,7360,0,FALSE
2009,11,317482.1620924901,2544,3,3,1.7,1911,Powderhorn Park,Powderhorn,5052,0,FALSE
2015,4,161425.1407574231,1782,2,1,1.2,1911,Holland,Northeast,5084,0,FALSE
2015,4,708349.6710721271,2647,3,3,2,1940,Kenwood,Calhoun-Isles,7405,1,TRUE
2006,4,167001.09616342804,924,1,1,1,1915,Victory,Camden,5151,0,FALSE
2010,8,580900.519908408,3060,4,3,1.7,1910,Kenwood,Calhoun-Isles,4410,1,TRUE
2005,9,207504.22535211267,1552,2,1,1,1923,Hiawatha,Longfellow,5418,0,FALSE
2015,4,281593.55182836484,1932,4,2,1.2,1954,Como,University,5120,0,FALSE
2008,6,193252.7004593885,3513,3,1,2,1951,Waite Park,Northeast,6507,0,FALSE
2015,5,220998.8379795866,2264,3,2,1,1959,Wenonah,Nokomis,6400,0,FALSE
2005,2,198192.14968814972,1864,4,1,1,1950,Folwell,Camden,5722,0,FALSE
2015,3,154054.58182188022,2246,3,3,1.2,1956,Victory,Camden,5062,0,FALSE
2015,6,278265.9715472298,2280,4,2,1.2,1925,Longfellow,Longfellow,5120,0,FALSE
2005,2,302278.5393762994,2590,3,1,1.2,1925,Regina,Nokomis,4640,1,TRUE
2005,4,392659.1636551368,1670,2,1,1.7,1924,Bryn - Mawr,Calhoun-Isles,6750,1,TRUE
2005,7,350555.9774243202,2234,3,2,1.2,1927,Northrop,Nokomis,5270,1,TRUE
2006,7,201532.2148841794,1440,2,1,1.2,1951,Lind - Bohanon,Camden,6505,0,FALSE
2015,9,320247.2441873195,2173,3,2,1.5,1921,Howe,Longfellow,5040,0,FALSE
2009,6,276081.3818147959,1568,2,1,1,1923,Bryn - Mawr,Calhoun-Isles,3900,0,FALSE
2005,10,246039.9799095932,1676,3,1,1.2,1916,Jordan,Near North,5374,0,FALSE
2006,7,221100.9167077378,1204,1,1,1,1922,Hiawatha,Longfellow,5120,0,FALSE
2005,7,760640.3283735248,3012,4,3,2,1947,Kenny,Southwest,5760,2,TRUE
2009,11,192269.5710616202,1868,3,1,1.2,1948,Regina,Nokomis,5120,1,TRUE
2012,6,248207.10297386706,1858,3,3,1,1984,Hiawatha,Longfellow,5418,1,TRUE
2012,2,161020.73061240578,1728,2,1,1,1922,Field,Nokomis,4720,0,FALSE
2006,6,256801.9028741328,2556,3,1,1,1948,Hale,Nokomis,7615,1,TRUE
2006,7,247785.51010349925,2056,2,1,1.2,1917,Folwell,Camden,5587,0,FALSE
2009,11,189895.87265345204,1248,2,1,1.5,1912,Longfellow,Longfellow,5120,0,FALSE
2006,12,213619.43413096998,2128,2,1,1.7,1922,Folwell,Camden,7646,0,FALSE
2008,3,229380.35306023012,2384,3,2,1.2,1921,Howe,Longfellow,5600,0,FALSE
2005,11,374827.4204946997,1950,3,1,1.5,1926,Fulton,Southwest,5418,1,TRUE
2015,6,300885.252275338,2028,3,3,2,1924,Bancroft,Powderhorn,3913,1,TRUE
2010,7,177723.8574481285,1696,2,1,1.5,1906,Corcoran,Powderhorn,6840,0,FALSE
2010,11,319359.387950271,2482,4,3,1.7,1910,Audubon Park,Northeast,5080,0,FALSE
2014,5,245071.98608801357,2376,4,1,2,1916,Bryant,Powderhorn,4756,1,TRUE
2011,9,156007.2034846004,2285,3,1,1.2,1929,Victory,Camden,5122,0,FALSE
2012,7,172566.9189378363,1949,3,1,1.7,1905,Como,University,4960,0,FALSE
2012,12,172833.4364093227,1530,2,1,1.5,1916,Howe,Longfellow,5207,0,FALSE
2006,4,134885.50074738418,2101,3,1,1.2,1917,Folwell,Camden,5030,0,FALSE
2011,9,133123.59828241327,1924,3,1,1.7,1908,Howe,Longfellow,3615,0,FALSE
2014,6,288003.5071301811,2467,3,2,1.5,1939,Keewaydin,Nokomis,5960,1,TRUE
2014,2,240806.63307110683,2398,3,2,1.2,1919,King Field,Southwest,5292,1,TRUE
2011,4,213997.1529677411,1860,3,1,1.2,1952,Armatage,Southwest,5080,1,TRUE
2007,5,423980.8468960847,3158,4,3,2.5,1905,Lyndale,Powderhorn,7327,1,TRUE
2007,6,202667.1762355598,1338,1,1,1.2,1923,Morris Park,Nokomis,5120,0,FALSE
2015,6,123673.76513210214,1740,2,1,1.7,1924,Webber - Camden,Camden,5748,0,FALSE
2014,4,254042.79648831981,2922,4,2,1.5,1924,Longfellow,Longfellow,4992,0,FALSE
2006,10,343509.93561168894,2474,3,2,1.2,1939,Diamond Lake,Nokomis,5955,1,TRUE
2012,8,599934.9333240547,3147,5,2,2.5,1915,Tangletown,Southwest,11590,2,TRUE
2007,1,760404.4495347454,2838,4,5,2.2,1900,East Isles,Calhoun-Isles,4200,1,TRUE
2013,5,185674.46192856188,1828,5,2,1,1993,Central,Powderhorn,5200,0,FALSE
2011,6,270088.6631139738,1944,3,2,1.5,1950,Audubon Park,Northeast,5080,1,TRUE
2006,5,297016.32190760056,2495,3,2,1.7,1920,Windom,Southwest,5120,0,FALSE
2015,5,180584.82453660533,1361,2,2,1.5,1907,King Field,Southwest,5280,0,FALSE
2006,8,358651.14818449464,2121,4,2,1.2,1926,Fulton,Southwest,5040,1,TRUE
2006,6,383286.42220019817,2540,2,2,1,1953,Seward,Longfellow,8750,2,TRUE
2015,9,201918.60141980145,1496,2,2,1,1951,Wenonah,Nokomis,5120,0,FALSE
2011,1,116447.24870810672,1868,3,1,1.2,1948,Lind - Bohanon,Camden,5210,0,FALSE
2009,5,387301.21771460224,2924,4,2,1,1952,Keewaydin,Nokomis,6088,2,TRUE
2015,9,246156.14447279557,1593,2,2,1.7,1926,Page,Nokomis,4960,1,TRUE
2010,1,247761.78915618334,2189,2,2,1.7,1920,Cooper,Longfellow,5040,2,TRUE
2009,2,280605.79676077195,2132,3,1,1.7,1900,Seward,Longfellow,5166,0,FALSE
2014,5,119978.62551600131,2028,4,2,1,1985,Central,Powderhorn,5418,0,FALSE
2006,4,375778.1588440459,2288,4,2,1.5,1923,Tangletown,Southwest,5412,1,TRUE
2007,3,202202.09656677447,1564,1,1,1.5,1913,Standish,Powderhorn,5080,0,FALSE
2014,7,245341.95656384475,2124,3,2,1.2,1914,Bancroft,Powderhorn,4379,2,TRUE
2013,8,266983.72284284834,1656,3,1,1.2,1942,Kenny,Southwest,6376,0,FALSE
2012,12,236726.05515934975,1984,2,1,1.2,1947,Wenonah,Nokomis,4997,1,TRUE
2006,3,167837.3560340511,2356,3,1,1.7,1900,Whittier,Powderhorn,3396,0,FALSE
2015,6,504458.77882831136,2256,4,2,1,1950,Linden Hills,Southwest,11890,0,FALSE
2005,8,328689.44416114234,2186,5,2,1,1994,Webber - Camden,Camden,8691,0,FALSE
2015,3,652273.6549479609,5237,7,4,2.2,1916,Prospect Park - East River Road,University,15408,2,TRUE
2007,8,330866.70486885257,2468,3,2,1.5,1925,Windom Park,Northeast,6300,0,FALSE
2014,3,207545.54544376093,1698,2,2,1.5,1911,Hiawatha,Longfellow,5120,0,FALSE
2012,6,141026.76305333356,1686,3,1,1.2,1950,Wenonah,Nokomis,6400,0,FALSE
2006,7,130881.57713159193,1732,3,2,1.2,1954,Folwell,Camden,5035,0,FALSE
2015,4,193731.99786641382,1876,3,1,2,1912,Central,Powderhorn,5280,0,FALSE
2008,4,1179804.3207972252,4512,4,4,2,1999,Linden Hills,Southwest,8512,1,TRUE
2009,3,219610.5508364903,2826,4,2,2.2,1910,Northeast Park,Northeast,5125,0,FALSE
2008,11,167283.87214817526,1978,2,1,1,1954,Victory,Camden,6410,0,FALSE
2005,6,210172.48115642747,1650,2,1,1.5,1918,Lind - Bohanon,Camden,5139,0,FALSE
2015,12,227720.44195641845,1568,2,2,1.5,1910,Bottineau,Northeast,3440,0,FALSE
2013,12,112589.77756381035,1188,1,1,1,1910,Corcoran,Powderhorn,5004,0,FALSE
2007,10,294441.1950858072,2296,3,2,1,1953,Diamond Lake,Nokomis,6111,2,TRUE
2005,7,234012.65059004616,1348,3,1,1.5,1913,Holland,Northeast,3589,0,FALSE
2006,12,114249.92614475629,1954,3,1,1.2,1915,McKinley,Camden,5819,0,FALSE
2012,12,180638.8174084534,1814,3,1,1.5,1924,Willard - Hay,Near North,5132,0,FALSE
2010,10,244834.80722259,1782,3,3,1.5,1906,Lyndale,Powderhorn,5424,0,FALSE
2010,8,783801.618002689,4068,4,5,2.5,1900,Lowry Hill,Calhoun-Isles,6750,2,TRUE
2012,7,146625.48667920733,2193,3,2,2,1982,Near - North,Near North,6558,0,FALSE
2013,6,188561.07896491647,1682,3,1,1.2,1952,Hiawatha,Longfellow,3968,0,FALSE
2006,7,215891.0675209463,1428,2,2,1,1924,Victory,Camden,5116,0,FALSE
2007,12,259110.40696162122,1780,3,1,1.5,1908,Keewaydin,Nokomis,7560,0,FALSE
2005,5,219603.19008264464,1498,4,2,1.7,1905,Central,Powderhorn,4920,0,FALSE
2005,1,191080.41753653446,1300,2,1,1.5,1917,Webber - Camden,Camden,5013,0,FALSE
2014,8,412587.88848648197,2588,4,2,1.5,1931,Hale,Nokomis,5146,1,TRUE
2011,10,159185.7111356119,1956,4,1,1.5,1918,Standish,Powderhorn,4884,0,FALSE
2014,2,239712.05746623818,2584,5,2,1.5,1924,Field,Nokomis,5117,1,TRUE
2010,3,290618.85504225845,1936,3,2,2.2,1900,King Field,Southwest,4370,0,FALSE
2006,9,404915.89743589744,2160,3,2,1.2,1927,Howe,Longfellow,5248,1,TRUE
2012,4,120369.68938028772,1432,2,1,1,1918,Morris Park,Nokomis,6650,1,TRUE
2009,9,363097.0670941022,2780,4,3,2,1924,Minnehaha,Nokomis,8000,1,TRUE
2012,7,275204.7596132814,2256,3,2,1.2,1951,Kenny,Southwest,6350,2,TRUE
2009,11,201123.4661240874,2583,4,4,2,2000,Powderhorn Park,Powderhorn,5589,0,FALSE
2007,6,709148.4987984598,3326,3,3,2,1955,Fulton,Southwest,10740,2,TRUE
2005,12,218649.32862190815,2170,4,2,1.2,1920,Lind - Bohanon,Camden,5210,0,FALSE
2009,11,261106.82489849656,2520,3,2,1.2,1918,Bancroft,Powderhorn,4867,1,TRUE
2015,4,178451.72761216146,1440,2,1,1.2,1923,Minnehaha,Nokomis,5120,0,FALSE
